,website_path,course_title,location,holes,courses
0,https://foreupsoftware.com/index.php/booking/19640#/welcome,[Demo] Cayacoa Golf Course,"387 S 520 W Lindon, AL 84042 USA ","9, 18, Both","[{'course_id': '9055', 'course_name': '9 Hole Test'}, {'course_id': ' 5523', 'course_name': ' New Tee Sheet [ID: 5523]'}]"
1,https://foreupsoftware.com/index.php/booking/19466#/welcome,27 Hole Template Demo,"387 S 520 W Lindon, UT 84042 USA ","9, 18","[{'course_id': '1695', 'course_name': 'Graveyard /Windmill'}]"
2,https://foreupsoftware.com/index.php/booking/19015#/welcome,A.H. Blank Golf Course,"808 Country Line Road Des Moines, IA 50315 USA ","9, 18, Both","[{'course_id': '760', 'course_name': 'BLANK'}]"
3,https://foreupsoftware.com/index.php/booking/19469#/welcome,Aguila Golf Course,"8440 S. 35th Ave. Phoenix, AZ 85339 USA ",9,"[{'course_id': '1704', 'course_name': 'Aguila Golf Course - 9 Hole'}]"
4,https://foreupsoftware.com/index.php/booking/19749#/welcome,Ashley Plantation Country Club,"919 Greenfield St Daleville, VA 24083 USA ","9, 18","[{'course_id': '2391', 'course_name': 'Ashley Plantation'}]"
5,https://foreupsoftware.com/index.php/booking/19717#/welcome,Babe Zaharias Golf Course,"3500 Jimmy Johnson Blvd Port Arthur, TX 77642 USA ","9, 18, Both","[{'course_id': '2254', 'course_name': 'Babe Zaharias'}]"
6,https://foreupsoftware.com/index.php/booking/19145#/welcome,Bailey Creek Golf Course,"433 Durkin Dr Lake Almanor, CA 96137 USA ",,"[{'course_id': '1173', 'course_name': 'Bailey Creek'}]"
7,https://foreupsoftware.com/index.php/booking/19361#/welcome,Bangor Municipal Golf Course,"278 WEBSTER AVE BANGOR, ME 04401 USA ",,"[{'course_id': '1489', 'course_name': 'Championship Course'}, {'course_id': ' 1584', 'course_name': ' Kelly Nine'}]"
8,https://foreupsoftware.com/index.php/booking/19436#/welcome,Benton Golf & Country Club,"P.O. Box 221 Benton, KY 42025 USA ",,"[{'course_id': '1626', 'course_name': 'Benton Golf & Country Club'}]"
9,https://foreupsoftware.com/index.php/booking/19765#/teetimes,BethPage State Park ," 99 Quaker Meeting House Road, Farmingdale, NY, 11735 USA",,"[{'course_id': '2431', 'course_name': 'Black course'}, {'course_id': ' 2433', 'course_name': ' Blue course'}, {'course_id': ' 2434', 'course_name': ' Green course'}, {'course_id': ' 2432', 'course_name': ' Red course'}, {'course_id': ' 2435', 'course_name': ' Yellow course'}]"
10,https://foreupsoftware.com/index.php/booking/19417#/welcome,Bison Golf Club,"1 N. Bison Preserve Dr Show Low, AZ 85901 USA ","9, 18, Both","[{'course_id': '1595', 'course_name': 'Birdie Ranch at Silver Creek Golf Club'}, {'course_id': ' 1594', 'course_name': ' Bison Golf Club'}]"
11,https://foreupsoftware.com/index.php/booking/19139#/welcome,Blue Heron Hills Golf,"One Country Club Drive Macedon, NY 14502 USA ","9, 18","[{'course_id': '1150', 'course_name': 'The Club at Blue Heron Hills'}]"
12,https://foreupsoftware.com/index.php/booking/19868#/welcome,Blue Ridge Shadows Golf Club,"456 Shadows Drive Front Royal, VA 22630 USA ","9, 18, Both","[{'course_id': '2781', 'course_name': 'Blue Ridge Shadows'}]"
13,https://foreupsoftware.com/index.php/booking/19354#/welcome,Blueberry Pines Golf Club,"39161 US Highway 71 Menahga, MN 56464 USA ",,"[{'course_id': '1486', 'course_name': 'Blueberry Pines'}]"
14,https://foreupsoftware.com/index.php/booking/19643#/welcome,Bowen Island Golf Club,"810 Beach Drive Bowen Island, BC V0N 1G2 CA ","9, 18","[{'course_id': '2026', 'course_name': 'BIGC'}]"
15,https://foreupsoftware.com/index.php/booking/19105#/welcome,Brentwood Country Club,"100 Pennsylvania Ave Brentwood, NY 11717 USA ","9, 18, Both","[{'course_id': '957', 'course_name': 'Brentwood'}]"
16,https://foreupsoftware.com/index.php/booking/19228#/welcome,Bridgton Highlands Country Club,"Bridgton Highlands Country Club BRIDGTON, ME 04009 USA ",,"[{'course_id': '1300', 'course_name': 'Bridgton'}, {'course_id': ' 9112', 'course_name': ' New Tee Sheet'}, {'course_id': ' 9116', 'course_name': ' New Tee Sheet'}]"
17,https://foreupsoftware.com/index.php/booking/19014#/welcome,Bright Grandview Golf Course,"2401 East 29th Street Des Moines, IA 50317 USA ","9, 18, Both","[{'course_id': '759', 'course_name': 'GRANDVIEW'}]"
18,https://foreupsoftware.com/index.php/booking/19062#/welcome,Broadview Golf Course,"5694 Headleys Mill Pataskala, OH 43062 USA ",,"[{'course_id': '855', 'course_name': 'Championship'}]"
19,https://foreupsoftware.com/index.php/booking/19865#/welcome,Brookline Golf Course,"1281 West Roxbury Parkway Brookline, MA 02467 USA ",,"[{'course_id': '2748', 'course_name': 'Brookline'}]"
20,https://foreupsoftware.com/index.php/booking/19611#/welcome,Brown's Run,"6855 Sloebig Rd. Middletown, OH 45042 USA ","9, 18, Both","[{'course_id': '2773', 'course_name': ""Brown's Run C.C.""}]"
21,https://foreupsoftware.com/index.php/booking/19835#/welcome,Bulle Rock Golf Course,"320 Blenheim Lane Havre de Grace, MD 21078 USA ","9, 18, Both","[{'course_id': '2598', 'course_name': 'Bulle Rock #1'}]"
22,https://foreupsoftware.com/index.php/booking/19768#/welcome,Buzzcity,"123 Bogle Lane Salisbury , NC 84603 USA ","9, 18","[{'course_id': '2456', 'course_name': 'Buzzcity Golf'}]"
23,https://foreupsoftware.com/index.php/booking/19511#/welcome,Cabeza de Toro,"Higuey 23000, Dominican Republic Punta Cana, Dominican Republic, La Altagracia JMQ2+VM USA ",,"[{'course_id': '3017', 'course_name': 'New Tee Sheet'}]"
24,https://foreupsoftware.com/index.php/booking/19260#/welcome,Caledonia Golf Course,"9515 Golf Course Rd Fayetteville, PA 17222 USA ","9, 18","[{'course_id': '1353', 'course_name': 'Caledonia Golf Course'}]"
25,https://foreupsoftware.com/index.php/booking/19122#/welcome,Candlewick Lake,"13400 Hwy 76 Poplar Grove, IL 61065 USA ",,"[{'course_id': '2960', 'course_name': 'New Tee Sheet'}]"
26,https://foreupsoftware.com/index.php/booking/19650#/welcome,Casselberry Golf Club,"300 S. Triplet Lake Drive Cassellberry, FL 32707 USA ","9, 18, Both","[{'course_id': '2084', 'course_name': 'Casselberry G.C.'}]"
27,https://foreupsoftware.com/index.php/booking/19653#/welcome,Causeway Club Demo,"7169 County Road O Erin, ME 84042 USA ","9, 18, Both","[{'course_id': '2115', 'course_name': 'Causeway Club'}, {'course_id': ' 7506', 'course_name': ' Mt. Hood'}, {'course_id': ' 8851', 'course_name': ' New Tee Sheet'}, {'course_id': ' 8067', 'course_name': ' PickleBall Courts'}, {'course_id': ' 6573', 'course_name': ' Pool Lessons'}, {'course_id': ' 7184', 'course_name': ' Sim Lesson'}, {'course_id': ' 4293', 'course_name': ' TP Country Club'}, {'course_id': ' 6503', 'course_name': ' Tennis Courts - Lower'}, {'course_id': ' 8066', 'course_name': ' putting green.'}, {'course_id': ' 8140', 'course_name': ' shuttle'}, {'course_id': ' 6405', 'course_name': ' wingfield'}]"
28,https://foreupsoftware.com/index.php/booking/19612#/welcome,Cedar Hill Golf Course,"1137 Park Street Stoughton, MA 02072 USA ",,"[{'course_id': '9365', 'course_name': 'New Tee Sheet'}]"
29,https://foreupsoftware.com/index.php/booking/19013#/welcome,Cherokee County Country Club,"270 County Road 382 Centre, AL 35960 USA ",,"[{'course_id': '758', 'course_name': 'DAILY'}]"
30,https://foreupsoftware.com/index.php/booking/19146#/welcome,Clarksville Country Club,"690 Private Road 7010 Clarksville , TX 75426 USA ",,"[{'course_id': '1175', 'course_name': 'Clarksville Country Club'}]"
31,https://foreupsoftware.com/index.php/booking/19497#/welcome,Clifton Hollow Golf Club,"W12166 820th Avenue River Falls, WI 54022 USA ",,"[{'course_id': '1749', 'course_name': 'Clifton Hollow Golf Club'}]"
32,https://foreupsoftware.com/index.php/booking/19770#/welcome,Clover Valley Golf Club,"8644 Johnstown Alexandria Road Johnstown, OH 43031 USA ","9, 18, Both","[{'course_id': '1391', 'course_name': 'Bent Tree (Ohio)'}, {'course_id': ' 2457', 'course_name': ' Clover Valley'}, {'course_id': ' 1390', 'course_name': ' Glenross'}, {'course_id': ' 1389', 'course_name': ' Golf Club of Dublin'}, {'course_id': ' 1376', 'course_name': ' New Albany Links'}, {'course_id': ' 1377', 'course_name': ' Royal American'}]"
33,https://foreupsoftware.com/index.php/booking/19798#/welcome,Coeur d'Alene Golf Club,"2321 W. Fairway Drive Coeur d'Alene, ID 83815 USA ","9, 18, Both","[{'course_id': '2483', 'course_name': ""Coeur d'Alene Golf Club""}]"
34,https://foreupsoftware.com/index.php/booking/19021#/welcome,Columbia Golf Club,"125 AA Road Columbia, IL 62236 USA ",,"[{'course_id': '792', 'course_name': 'Bridges'}, {'course_id': ' 781', 'course_name': ' Columbia'}]"
35,https://foreupsoftware.com/index.php/booking/19183#/welcome,Costa Del Sol,"100 COSTA DEL SOL BLVD MIAMI, FL 33178 USA ","9, 18","[{'course_id': '3084', 'course_name': 'CDS Golf Club 2019'}]"
36,https://foreupsoftware.com/index.php/booking/19201#/welcome,Cove View Golf Course,"1315 West 1800 South Richfield, UT 84701 USA ",,"[{'course_id': '1265', 'course_name': 'Cove View'}]"
37,https://foreupsoftware.com/index.php/booking/19534#/welcome,Coyote Creek Golf Course,"222 Clubhouse Drive Fort Lupton, CO 80621 USA ","9, 18","[{'course_id': '1798', 'course_name': 'Coyote Creek Golf Course'}]"
38,https://foreupsoftware.com/index.php/booking/19462#/welcome,Crazy Horse Sports Club & Golf Course,"922 Crazy Horse Road Hutchinson, KS 67502 USA ",,"[{'course_id': '1677', 'course_name': 'Crazy Horse Sports Club'}, {'course_id': ' 6204', 'course_name': ' Golf Simulator Room'}]"
39,https://foreupsoftware.com/index.php/booking/19603#/welcome,Crystal Springs Golf Course,"N8055 French Road Seymour, WI 54165 USA ",,"[{'course_id': '1915', 'course_name': 'Crystal Springs Golf Course'}]"
40,https://foreupsoftware.com/index.php/booking/19329#/welcome,Cypress Creek Golf Course,"34 Cypress Creek Crossing Cabot, AR 72023 USA ","9, 18","[{'course_id': '1443', 'course_name': 'Cypress Creek'}]"
41,https://foreupsoftware.com/index.php/booking/19390#/welcome,Daytona Golf Club,"14730 Lawndale Ln Dayton, MN 55330 USA ",,"[{'course_id': '1908', 'course_name': 'Daytona Golf Club'}]"
42,https://foreupsoftware.com/index.php/booking/19744#/welcome,Deer Park Golf Club,"1201 N Country Club Dr Deer Park, WA 99006 USA ","9, 18","[{'course_id': '2378', 'course_name': '18 Hole'}]"
43,https://foreupsoftware.com/index.php/booking/19357#/welcome,Defuniak Springs Country Club - 1,"171 Country Club Ln. Defuniak Springs, FL 32435 USA ",,"[{'course_id': '1483', 'course_name': 'Defuniak Springs Country Club'}, {'course_id': ' 2920', 'course_name': ' New Tee Sheet'}]"
44,https://foreupsoftware.com/index.php/booking/19625#/welcome,Demo 50," The Colony, TX 80014 USA ","9, 18, Both","[{'course_id': '1955', 'course_name': 'Demo Tee Sheet'}]"
45,https://foreupsoftware.com/index.php/booking/19187#/welcome,Demo Account 75," Alamamogordo, NM 33947 USA ","9, 18, Both","[{'course_id': '8084', 'course_name': '27 Holes'}, {'course_id': ' 3043', 'course_name': ' Long Meadow to White Marsh'}]"
46,https://foreupsoftware.com/index.php/booking/19677#/welcome,Development Testing - Apriva,"387 S 520 W Lindon, AL 84042 USA ","9, 18","[{'course_id': '2157', 'course_name': 'Dev Testing Apriva'}, {'course_id': ' 2225', 'course_name': ' No sheet set to default Test'}]"
47,https://foreupsoftware.com/index.php/booking/19533#/welcome,Diamond Valley Golf Club,"31220 Sage Road Hemet, CA 92543 USA ",18,"[{'course_id': '1795', 'course_name': 'Diamond Valley Golf (Slow Greens)'}]"
48,https://foreupsoftware.com/index.php/booking/19799#/welcome,Diamond Woods Golf Course,"96040 Territorial Highway Monroe, OR 97456 USA ","9, 18","[{'course_id': '2482', 'course_name': 'Diamond Woods'}, {'course_id': ' 8632', 'course_name': ' Simulator'}]"
49,https://foreupsoftware.com/index.php/booking/19506#/welcome,Dinaland Golf Course,"675 South 2000 East Vernal, UT 84078 USA ",,"[{'course_id': '1826', 'course_name': 'Dinaland Golf Course'}]"
50,https://foreupsoftware.com/index.php/booking/19366#/welcome,Dogwood Hills Golf Course,"1193 Debord Rd Chillicothe, OH 45601 USA ",,"[{'course_id': '5146', 'course_name': 'Dogwood Hills Golf Course'}]"
51,https://foreupsoftware.com/index.php/booking/19503#/welcome,Eagle Glen Golf Club (Cancelled),"129 South Eagle Trail Columbia City, IN 46725 USA ","9, 18","[{'course_id': '1766', 'course_name': 'Eagle Glen Golf Club'}]"
52,https://foreupsoftware.com/index.php/booking/19046#/welcome,Edgewood Golf Course (MA),"161 Sheep Pasture Road Southwick, MA 01077 USA ",,"[{'course_id': '964', 'course_name': 'Edgewood Golf Course'}]"
53,https://foreupsoftware.com/index.php/booking/19022#/welcome,Elmhurst Country Club Pro Shop,"300 Jonslea Lane Roaring Brook, PA 18444 USA ","9, 18","[{'course_id': '1132', 'course_name': 'Online Accounts'}]"
54,https://foreupsoftware.com/index.php/booking/19202#/welcome,Emerald Greens Golf Course,"14425 Goodwin Ave, Hastings, MN 55033 USA ",,"[{'course_id': '1266', 'course_name': 'Gold'}, {'course_id': ' 1308', 'course_name': ' Silver'}]"
55,https://foreupsoftware.com/index.php/booking/19255#/welcome,Fenton Farms Golf Club,"12312 Torrey Road Fenton, MI 48430 USA ","9, 18, Both","[{'course_id': '1342', 'course_name': 'Fenton Farms'}]"
56,https://foreupsoftware.com/index.php/booking/19862#/welcome,Flint River Municipal Golf Course,"2000 McAdams Rd Albany, GA 31705 USA ",,"[{'course_id': '2713', 'course_name': 'Flint River'}, {'course_id': ' 11360', 'course_name': ' Flintriver 18'}, {'course_id': ' 11361', 'course_name': ' Flintriver 18'}]"
57,https://foreupsoftware.com/index.php/booking/19587#/welcome,Forest Dale Golf Course,"2375 South 900 East Salt Lake City, UT 84106 USA ",9,"[{'course_id': '1900', 'course_name': 'Forest Dale Golf Course'}]"
58,https://foreupsoftware.com/index.php/booking/19619#/welcome,Fossil Island Golf Club,"220 Wyoming Hwy. 233 Kemmerer, WY 83101 USA ",,"[{'course_id': '1943', 'course_name': 'Fossil Island Golf Course Tee Sheet'}]"
59,https://foreupsoftware.com/index.php/booking/19044#/welcome,Fountains Golf and Banquet,"6060 Maybee Road Clarkston, MI 48346 USA ","9, 18, Both","[{'course_id': '894', 'course_name': 'Fountains Golf Course'}]"
60,https://foreupsoftware.com/index.php/booking/19184#/welcome,Frasch Park Golf Course & Grill,"400 Picard Road Sulphur, LA 70663 USA ","9, 18, Both","[{'course_id': '10152', 'course_name': ''}, {'course_id': ' 11138', 'course_name': ' 2024 Frasch Park GC'}, {'course_id': ' 1244', 'course_name': ' Frasch Park Golf Course'}]"
61,https://foreupsoftware.com/index.php/booking/19600#/welcome,Gates Park Golf Course (CANCELLED),"820 East Donald Street Waterloo, IA 50703 USA ","9, 18","[{'course_id': '2371', 'course_name': 'Simulator'}, {'course_id': ' 2771', 'course_name': ' Test'}]"
62,https://foreupsoftware.com/index.php/booking/19800#/welcome,Genesee Valley Golf Course,"1000 E River Rd Rochester, NY 14623 USA ",,"[{'course_id': '2506', 'course_name': 'Churchville East'}, {'course_id': ' 2507', 'course_name': ' Churchville West'}, {'course_id': ' 2489', 'course_name': ' Durand Eastman Golf Course'}, {'course_id': ' 2487', 'course_name': ' Genesee Valley North'}, {'course_id': ' 2503', 'course_name': ' Genesee Valley South'}]"
63,https://foreupsoftware.com/index.php/booking/19483#/welcome,Glen Ivy Golf Club,"24400 Trilogy Parkway Corona, CA 92883 USA ","9, 18","[{'course_id': '1727', 'course_name': 'Glen Ivy Golf Club'}]"
64,https://foreupsoftware.com/index.php/booking/19066#/welcome,Golden Pheasant Golf Club,"141 Country Club Drive Lumberton, NJ 08048 USA ",,"[{'course_id': '970', 'course_name': 'Golden Pheasant Golf Club'}]"
65,https://foreupsoftware.com/index.php/booking/19536#/welcome,Grapevine Golf Course,"DBA:GRAPEVINE GOLF COURSE GRAPEVINE, TX 76051 USA ",18,"[{'course_id': '1832', 'course_name': 'Primary'}]"
66,https://foreupsoftware.com/index.php/booking/19580#/welcome,Greenhills Golf Course,"PO Box 206 Ravenswood, WV 26164 USA ",,"[{'course_id': '1867', 'course_name': 'Greenhills Golf Course'}]"
67,https://foreupsoftware.com/index.php/booking/19136#/welcome,Halcrow Lake Golf & Country Club,"PO Box 2606 The Pas, Manitoba, MB R9A 1M3 CA ",,"[{'course_id': '1126', 'course_name': 'Halcrow Lake'}]"
68,https://foreupsoftware.com/index.php/booking/19170#/welcome,Hartwell Golf Club,"755 Golf Course Road Hart County, GA 30643 USA ",,"[{'course_id': '1214', 'course_name': 'Hartwell'}]"
69,https://foreupsoftware.com/index.php/booking/19557#/welcome,Hickory Hill Golf Course,"200 North Lowell Street Methuen, MA 01844 USA ","9, 18, Both","[{'course_id': '1829', 'course_name': 'Hickory Hill Golf Course'}]"
70,https://foreupsoftware.com/index.php/booking/19351#/welcome,Hillcrest Golf Club (SK),"PO Box 277 (1599 Main St N) Moose Jaw , SK S6H 4N9 CA ",,"[{'course_id': '1479', 'course_name': 'Hillcrest'}]"
71,https://foreupsoftware.com/index.php/booking/19634#/welcome,Hobbit's Glen Golf Club (DEMO),"11130 Willow Bottom Drive Columbia, MD 84057 USA ","9, 18","[{'course_id': '1978', 'course_name': 'Genesee Valley'}]"
72,https://foreupsoftware.com/index.php/booking/19377#/welcome,Hunters Creek Golf,"702 Hunters Creek Blvd Greenwood, SC 29649 USA ","9, 18","[{'course_id': '1549', 'course_name': ""Hunter's Creek""}]"
73,https://foreupsoftware.com/index.php/booking/19395#/welcome,Indian Creek Golf Course,"3605 Brookside Drive Hood River, OR 97031 USA ",18,"[{'course_id': '1563', 'course_name': 'Indian Creek'}]"
74,https://foreupsoftware.com/index.php/booking/19715#/welcome,Inshalla Country Club,"N11060 Clear Lake Rd Tomahawk, WI 54487 USA ",,"[{'course_id': '2251', 'course_name': 'Inshalla Country Club'}]"
75,https://foreupsoftware.com/index.php/booking/19048#/welcome,Ironwood Golf Club,"10955 Fall Road Fishers, IN 46037 USA ",18,"[{'course_id': '1411', 'course_name': 'Ironwood 18'}, {'course_id': ' 1412', 'course_name': ' Ironwood 9'}]"
76,https://foreupsoftware.com/index.php/booking/19479#/welcome,Island Pines Golf Club,"5700 Indian Pines Blvd Ft. Pierce, FL 34951 USA ","9, 18","[{'course_id': '1719', 'course_name': 'Island Pines Golf Club'}]"
77,https://foreupsoftware.com/index.php/booking/19727#/welcome,Kilmarlic Golf Club,"215 Westside Lane Powell's Point, NC 27966 USA ","9, 18","[{'course_id': '2312', 'course_name': 'Kilmarlic Golf Club'}]"
78,https://foreupsoftware.com/index.php/booking/19742#/welcome,King City Golf Course,"15355 SW Royalty Pkwy King City, OR 97224 USA ","9, 18","[{'course_id': '2376', 'course_name': 'King City Golf Course'}]"
79,https://foreupsoftware.com/index.php/booking/19837#/welcome,K's Creek Golf Club,"1265 Sandusky Rd Jacksonville, IL 62650 USA ","9, 18, Both","[{'course_id': '9052', 'course_name': 'Simulator Bay 2'}, {'course_id': ' 9053', 'course_name': ' Simulator Bay 3'}]"
80,https://foreupsoftware.com/index.php/booking/19352#/welcome,Lake Almanor Country Club,"951 Clifford Dr. Lake Almanor, CA 96137 USA ","9, 18","[{'course_id': '1480', 'course_name': 'Lake Almanor Country Club'}]"
81,https://foreupsoftware.com/index.php/booking/19505#/welcome,Lake Hallie Golf,"2196 110th St Chippewa Falls, WI 54729 USA ","9, 18, Both","[{'course_id': '1768', 'course_name': 'Lake Hallie Golf Club'}]"
82,https://foreupsoftware.com/index.php/booking/19450#/welcome,Lake Oswego Public Golf Course,"17525 Stafford Road Lake Oswego, OR 97034 USA ","9, 18","[{'course_id': '1660', 'course_name': 'Lake Oswego Public Golf Course'}, {'course_id': ' 3135', 'course_name': ' New Tee Sheet'}]"
83,https://foreupsoftware.com/index.php/booking/19345#/welcome,Lake St. Catherine Country Club,"2395 VT-30 Poultney, VT 05764 USA ",,"[{'course_id': '1466', 'course_name': 'Lake St. Catherine'}]"
84,https://foreupsoftware.com/index.php/booking/19157#/welcome,Lake Toccoa Facilities,"201 Black Mountain Road Toccoa, GA 30577 USA ",,"[{'course_id': '1201', 'course_name': 'April 1 - October 1'}, {'course_id': ' 1189', 'course_name': ' Lake Toccoa'}, {'course_id': ' 10830', 'course_name': ' Winter'}]"
85,https://foreupsoftware.com/index.php/booking/19446#/welcome,Lake Wales Country Club,"2925 Highway 60 East Lake Wales, FL 33898 USA ","9, 18","[{'course_id': '1655', 'course_name': 'Lake Wales Country Club'}]"
86,https://foreupsoftware.com/index.php/booking/19009#/welcome,Lake Wissota Golf,"16108 97th Ave. Chippewa Falls, WI 54729 USA ","9, 18","[{'course_id': '847', 'course_name': 'Lake Wissota'}]"
87,https://foreupsoftware.com/index.php/booking/19380#/welcome,Lakeside Golf Club,"405 Watts Lane Canyon Lake, TX 78133 USA ","9, 18","[{'course_id': '1548', 'course_name': 'Lakeside Golf Club'}]"
88,https://foreupsoftware.com/index.php/booking/19257#/welcome,Largo Golf Course,"12500 Vonn Rd Largo, FL 33774 USA ","9, 18, Both","[{'course_id': '1351', 'course_name': 'Largo Golf Course'}]"
89,https://foreupsoftware.com/index.php/booking/19651#/welcome,Lawrenceburg Golf & Country Club,"1901 West Gaines St. Lawrenceburg, TN 38464 USA ","9, 18","[{'course_id': '2074', 'course_name': 'Lawrenceburg Golf & Country Club'}]"
90,https://foreupsoftware.com/index.php/booking/19522#/welcome,Legacy Hills,"299 W Johnson Rd La Porte, IN 46350 USA ",,"[{'course_id': '1782', 'course_name': 'Legacy Hills'}]"
91,https://foreupsoftware.com/index.php/booking/19464#/welcome,Linville Falls Golf Club,"210 Blue Ridge Dr N Marion, NC 28752 USA ","9, 18","[{'course_id': '1685', 'course_name': 'Linville Falls Golf Club'}]"
92,https://foreupsoftware.com/index.php/booking/19035#/welcome,Logan River Golf Course,"550 West 1000 South Logan, UT 84321 USA ",,"[{'course_id': '799', 'course_name': 'Logan River'}]"
93,https://foreupsoftware.com/index.php/booking/19671#/welcome,Mangrove Bay,"875 62nd Ave. NE St. Petersburg, FL 33702 USA ","9, 18, Both","[{'course_id': '2149', 'course_name': 'Mangrove Bay'}]"
94,https://foreupsoftware.com/index.php/booking/19430#/welcome,Manitou Passage Golf Club,"4600 Club Drive Cedar, MI 49621 USA ",,"[{'course_id': '1608', 'course_name': 'Manitou Passage Golf Club'}]"
